NOMBRE,REGION
AEROPARQUE AERO,Pampa humeda
AZUL AERO,Pampa humeda
BAHIA BLANCA AERO,Pampa humeda
BARILOCHE AERO,Patagonia
BASE BELGRANO II,Antartida
BASE CARLINI (EX JUBANY),Antartida
BASE ESPERANZA,Antartida
BASE MARAMBIO,Antartida
BASE ORCADAS,Antartida
BASE SAN MARTIN,Antartida
BENITO JUAREZ,Pampa humeda
BERNARDO DE IRIGOYEN AERO,Mesopotamia
BOLIVAR AERO,Pampa humeda
BUENOS AIRES OBSERVATORIO,Pampa humeda
CAMPO DE MAYO AERO,Pampa humeda
CATAMARCA AERO,NOA
CERES AERO,Pampa humeda
CHAPELCO AERO,Patagonia
CHEPES,NOA
COMODORO RIVADAVIA AERO,Patagonia
CONCORDIA AERO,Mesopotamia
CORDOBA AERO,Pampa humeda
CORDOBA OBSERVATORIO,Pampa humeda
CORONEL SUAREZ AERO,Pampa humeda
CORRIENTES AERO,Mesopotamia
DOLORES AERO,Pampa humeda
EL BOLSON AERO,Patagonia
EL CALAFATE AERO,Patagonia
EL PALOMAR AERO,Pampa humeda
ESQUEL AERO,Patagonia
EZEIZA AERO,Pampa humeda
FORMOSA AERO,NEA
GENERAL PICO AERO,Pampa seca
GOBERNADOR GREGORES AERO,Patagonia
GUALEGUAYCHU AERO,Mesopotamia
IGUAZU AERO,Mesopotamia
ITUZAINGO,Pampa humeda
JACHAL,Cuyo
JUJUY AERO,NOA
JUJUY U N,NOA
JUNIN AERO,Pampa humeda
LA PLATA AERO,Pampa humeda
LA QUIACA OBSERVATORIO,NOA
LA RIOJA AERO,NOA
LABOULAYE AERO,Pampa seca
LAS FLORES,Pampa humeda
LAS LOMITAS,NEA
MALARGUE AERO,Cuyo
MAQUINCHAO,Patagonia
MAR DEL PLATA AERO,Pampa humeda
MARCOS JUAREZ AERO,Pampa humeda
MARIANO MORENO AERO,NOA
MENDOZA AERO,Cuyo
MENDOZA OBSERVATORIO,Cuyo
MERCEDES AERO (CTES),Mesopotamia
MERLO AERO,Cuyo
METAN,NOA
MONTE CASEROS AERO,Mesopotamia
MORON AERO,Pampa humeda
NEUQUEN AERO,Patagonia
NUEVE DE JULIO,Pampa humeda
OBERA,Mesopotamia
OLAVARRIA AERO,Pampa humeda
ORAN AERO,NOA
PARANA AERO,Mesopotamia
PASO DE INDIOS,Patagonia
PASO DE LOS LIBRES AERO,Mesopotamia
PEHUAJO AERO,Pampa humeda
PERITO MORENO AERO,Patagonia
PIGUE AERO,Pampa humeda
PILAR OBSERVATORIO,Pampa humeda
POSADAS AERO,NEA
PRESIDENCIA ROQUE SAENZ PEÑA AERO,NEA
PUERTO DESEADO AERO,Patagonia
PUERTO MADRYN AERO,Patagonia
PUNTA INDIO B.A.,Pampa humeda
RAFAELA AERO,Pampa humeda
RECONQUISTA AERO,Pampa humeda
RESISTENCIA AERO,NEA
RIO GALLEGOS AERO,Patagonia
RIO GRANDE B.A.,Pampa humeda
RIVADAVIA,NOA
ROSARIO AERO,Pampa humeda
SALTA AERO,NOA
SAN ANTONIO OESTE AERO,Patagonia
SAN FERNANDO AERO,Pampa humeda
SAN JUAN AERO,Cuyo
SAN JULIAN AERO,Patagonia
SAN LUIS AERO,Cuyo
SAN MARTIN (MZA),Cuyo
SAN RAFAEL AERO,Cuyo
SANTA CRUZ AERO,Patagonia
SANTA ROSA AERO,Pampa seca
SANTA ROSA DE CONLARA AERO,Cuyo
SANTIAGO DEL ESTERO AERO,NOA
SAUCE VIEJO AERO,Mesopotamia
SUNCHALES AERO,Pampa humeda
TANDIL AERO,Pampa humeda
TARTAGAL AERO,NOA
TERMAS DE RIO HONDO AERO,NOA
TINOGASTA,NOA
TRELEW AERO,Patagonia
TRENQUE LAUQUEN,Pampa humeda
TRES ARROYOS,Pampa humeda
TUCUMAN AERO,NOA
USHUAIA AERO,Patagonia
USPALLATA,Cuyo
VENADO TUERTO AERO,Pampa humeda
VICTORICA,Pampa seca
VIEDMA AERO,Patagonia
VILLA DE MARIA DEL RIO SECO,NEA
VILLA DOLORES AERO,Pampa seca
VILLA GESELL AERO,Pampa humeda
VILLA REYNOLDS AERO,Pampa humeda
CHILECITO AERO,Cuyo
CHAMICAL AERO,Cuyo
ESCUELA DE AVIACION MILITAR AERO,Pampa humeda
RIO CUARTO AERO,Pampa humeda
