Archivo,Duplicado_de,Distancia_hash
Data\test\normal\10 (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\10 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\10 - Copy (3).png,Nombre sospechoso,-1
Data\test\normal\11 (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\11 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\12 (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\12 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\12 - Copy (3).png,Nombre sospechoso,-1
Data\test\normal\12 - Copy - Copy.png,Nombre sospechoso,-1
Data\test\normal\24 - Copy.png,Nombre sospechoso,-1
Data\test\normal\6 (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\6 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\7 (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\7 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\8 (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\8 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\test\normal\normal - Copy.png,Nombre sospechoso,-1
Data\train\normal\13 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\13 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\13 - Copy (3).png,Nombre sospechoso,-1
Data\train\normal\13 - Copy - Copy.png,Nombre sospechoso,-1
Data\train\normal\16 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\16 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\16 - Copy (3).png,Nombre sospechoso,-1
Data\train\normal\17 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\17 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\18 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\19 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\19 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\2 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\2 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\20 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\21 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\3 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\3 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\4 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\4 - Copy (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\5 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\n7 (2) - Copy.png,Nombre sospechoso,-1
Data\train\normal\n6 (2) - Copy.jpg,Nombre sospechoso,-1
Data\train\normal\n9 (2) - Copy.jpg,Nombre sospechoso,-1
